1:32	0.000003600166
46:47	0.000001891229
53:53	5.400711E-7
58:58	5.084062E-7
33:39	4.934512E-7
54:55	1.470223E-7
63:63	1.322763E-7
40:45	1.175262E-7
56:57	1.156016E-7
48:49	1.105925E-7
60:60	1.035008E-7
61:61	9.102900E-8
62:62	4.461490E-8
59:59	3.796217E-8
50:52	3.664827E-8
65:65	2.694633E-8
64:64	2.218235E-8
68:68	1.877833E-8
70:70	1.466194E-8
66:66	1.443574E-8
71:71	1.375605E-8
67:67	1.173538E-8
72:72	9.893036E-9
69:69	9.320543E-9
74:74	7.889703E-9
73:73	5.675699E-9
76:76	5.055062E-9
75:75	3.598241E-9
77:77	3.189654E-9
81:81	2.181410E-9
80:80	2.036164E-9
79:79	2.024817E-9
78:78	1.389549E-9
82:82	1.086007E-9
83:83	7.862826E-10
86:86	4.691469E-10
84:84	4.541028E-10
85:85	4.521436E-10
87:87	3.747899E-10
89:89	2.558816E-10
91:91	1.375989E-10
93:93	1.364994E-10
90:90	1.304229E-10
94:94	9.690496E-11
88:88	6.894432E-11
96:96	6.497758E-11
92:92	4.535083E-11
100:100	4.190321E-11
99:99	3.458542E-11
95:95	3.172886E-11
97:97	3.163513E-11
98:98	1.831837E-11
102:102	8.171945E-12
101:101	6.874401E-12
104:104	6.285920E-12
103:103	5.759627E-12
105:105	4.994846E-12
107:107	3.447764E-12
106:106	3.250215E-12
109:109	2.179882E-12
108:108	2.056776E-12
110:110	2.019710E-12
112:112	1.271755E-12
111:111	9.159489E-13
113:113	6.487354E-13
115:115	4.545786E-13
116:116	4.335624E-13
118:118	2.740150E-13
120:120	2.594639E-13
119:119	2.540519E-13
117:117	2.297936E-13
122:122	1.272044E-13
114:114	1.144490E-13
121:121	1.030105E-13
123:123	7.934426E-14
124:124	6.873118E-14
